#key	name	year	genre	developer	players
Bakuchou Retrieve Master (Japan) (SGB Enhanced)	Bakuchou Retrieve Master	1998	Role Playing Game	TOSE	1
Bakuchou Retsuden Shou - Hyper Fishing (Japan) (SGB Enhanced)	Bakuchou Retsuden Shou - Hyper Fishing	1998	Fishing/Hunting and Fishing	Starfish	1
Balloon Kid (USA, Europe)	Balloon Kid	1990	Platform	Nintendo	1-2
Banishing Racer (Japan)	Banishing Racer	1991	Platform	Jaleco	1
Barbie - Game Girl (USA, Europe)	Barbie : Game Girl	1992	Platform	Imagineer	1
Bart Simpson's Escape from Camp Deadly (USA, Europe)	Bart Simpson's Escape from Camp Deadly	1991	Platform	Imagineer	1
Baseball (World)	Baseball	1989	Sports / Baseball/Sports	Nintendo	1-2
Bases Loaded (USA)	Bases Loaded	1990	Sports / Baseball/Sports	TOSE	1-2
Bass Fishing Tatsujin Techou (Japan)	Bass Fishing Tatsujin Techou	1996	Fishing/Hunting and Fishing	Starfish	1
Batman - Return of the Joker (USA, Europe)	Batman : Return of the Joker	1992	Platform	Sunsoft	1
Batman - The Animated Series (USA, Europe)	Batman : The Animated Series	1993	Platform / Fighter Scrolling/Platform	Konami	1
Batman - The Video Game (World)	Batman : The Video Game	1990	Platform / Shooter Scrolling/Platform	Sunsoft	1
Batman Forever (USA, Europe)	Batman Forever	1995	Beat'em Up	Probe Entertainment	1
Battle Arena Toshinden (USA) (SGB Enhanced)	Battle Arena Toshinden	1996	Fighting / Versus/Fighting	Tamsoft	1-2
Battle Bull (USA)	Battle Bull	1991	Action / Labyrinth/Action	Jorudan	1-2
Battle Crusher (Japan) (SGB Enhanced)	Battle Crusher	1995	Fighting	Sun L	1-2
Battle Dodge Ball (Japan)	Battle Dodge Ball	1992	Sports / Dodgeball/Sports	Sun L	1-2
Battle of Kingdom (Japan)	Battle of Kingdom	1991	Playing cards	Lenar	1
Battle of Olympus, The (Europe) (En,Fr,De,Es,It)	The Battle of Olympus	1993	Adventure	Infinity	1-2
Battle Pingpong (Japan) (En)	Battle Pingpong	1990	Sports / Table tennis/Sports	Quest	1-2
Battle Space (Japan)	Battle Space	1992		Akson Software	1-2
Battle Unit Zeoth (USA, Europe)	Battle Unit Zeoth	1991	Shoot'em Up / Horizontal/Shoot'em Up	Jaleco	1
BattleCity (Japan) (En)	BattleCity	1991	Shoot'em Up	Namco	1-2
Battleship (USA, Europe)	Battleship	1992	Strategy	Pack In Video	1-2
Battletoads (USA, Europe)	Battletoads	1991	Beat'em Up	Rareware	1
Battletoads in Ragnarok's World (USA)	Battletoads in Ragnarok's World	1993	Beat'em Up	Rareware	1
Battletoads-Double Dragon (USA)	Battletoads / Double Dragon	1993	Beat'em Up	Rareware	1
Beavis and Butt-head (USA, Europe)	Beavis and Butt-Head	1999	Platform	Viacom New Media	1
Beethoven (Europe) (SGB Enhanced)	Beethoven : The Ultimate Canine Caper	1993	Platform	Unexpected Development	1
Beetlejuice (USA)	Beetlejuice	1992	Platform	Rareware	1
Best of the Best - Championship Karate (USA)	Best of the Best : Championship Karate	1992	Sports / Boxing/Sports	Loriciel	1
Bikkuri Nekketsu Shin Kiroku! - Dokodemo Kin Medal (Japan)	Bikkuri Nekketsu Shin Kiroku! : Dokodemo Kin Medal	1993	Sports / Multisports/Sports	Million	1-2
Bill & Ted's Excellent Game Boy Adventure - A Bogus Journey! (USA, Europe)	Bill & Ted's Excellent Game Boy Adventure	1991	Adventure	LJN	1
Bill Elliott's NASCAR Fast Tracks (USA)	Bill Elliott's NASCAR Fast Tracks	1991	Racing, Driving	Distinctive Software	1-2
Bionic Battler (USA)	Bionic Battler	1990	Action / Labyrinth/Action	Copya System	1
Bionic Commando (USA)	Bionic Commando	1992	Platform / Shooter Scrolling/Platform	Minakuchi Engineering	1
Bishoujo Senshi Sailor Moon (Japan)	Bishoujo Senshi Sailor Moon	1992	Beat'em Up	Arc System Works	1
Bishoujo Senshi Sailor Moon R (Japan)	Bishoujo Senshi Sailor Moon R	1994	Adventure	Angel	1
Black Bass - Lure Fishing (USA)	Black Bass : Lure Fishing	1994	Fishing/Hunting and Fishing	Hot-B	1
Blade Warrior (Europe) (Proto)	Blade Warrior				
Blades of Steel (USA)	Blades of Steel	1991	Sports / Hockey/Sports	Konami	1
Blaster Master Boy (USA)	Blaster Master Boy	1991	Action / Labyrinth/Action	Aicom Corporation	1
Block Kuzushi GB (Japan) (SGB Enhanced)	Block Kuzushi GB	1995	Action / Breakout games/Action	OeRSTED	1
Blodia (Japan) (En)	Blodia	1990	Puzzle	Hudson Soft	1-2
Blues Brothers, The (USA, Europe)	The Blues Brothers	1992	Platform/Platform / Run & Jump Scrolling	Titus	1
Blues Brothers, The - Jukebox Adventure (Europe)	The Blues Brothers : Jukebox Adventure	1994	Platform	Titus	1
Bo Jackson - Two Games in One (USA)	Bo Jackson : Two Games in One	1991	Sports	Equilibrium	1
Bobby's World (USA) (Proto) (SGB Enhanced)	Bobby's World				
Boggle Plus (USA)	Boggle Plus	1992	Board game/Puzzle	Sculptured Software	1
Bomb Jack (Europe)	Bomb Jack	1992	Platform	Tehkan	1-4
Bomberman Collection (Japan) (SGB Enhanced)	Bomber Man Collection	1996	Puzzle/Compilation	Hudson Soft	1-2
Bomberman GB (USA, Europe) (SGB Enhanced)	Bomberman GB	1998	Action/Action/Action / Labyrinth/Action	Hudson Soft	1
Bomberman GB 3 (Japan) (SGB Enhanced)	Bomberman GB 3	1996	Puzzle	Hudson Soft	1
Bonk's Adventure (USA)	Bonk's Adventure	1992	Platform	Red Company Corporation	1
Bonk's Revenge (USA) (SGB Enhanced)	Bonk's Revenge	1994	Platform	AI	1
