#key	synopsis
007 - The World Is Not Enough (USA, Europe)	Enter the sophisticated world of high-tech espionage as Her Majesty's greatest spy... James Bond. Experience all the intense action, spycraft, and state-of-the-art gadgetry synonymous with Bond. Work with helpful allies such as Dr. Christmas Jones and M to stop the treacherous villain Renard. Your mission: Save the world. Are you up to it? Of course you are. You're Bond. James Bond.
10-Pin Bowling (USA) (Rumble Version)	10-PIN BOWLING brings you all the fun of bowling in miniature form on your Game Boy Color. Play by yourself or with a friend in 10 frames of simple straight-up bowling action. Challenge your friend to see who's better or challenge your own scores to see if you can beat them. Aim carefully and apply the right amount of strength and you'll be racking up strikes in no time. This cartridge also uses the Rumble technology so you can feel every strike and spare in the alley. 10-PIN BOWLING features everything but the stinky shoe rentals. Will you rule the lane, or will you just be another gutter ball?
102 Dalmatians - Puppies to the Rescue (USA, Europe)	Cruella De Vil has captured more Dalmatian puppies to make into a coat. You, as Domino or Oddball, must free them. Disney's 102 Dalmatians: Puppies to the Rescue on the Game Boy Color is a 2D, side-scrolling platform game. You must run and jump about the level, searching for a key. Once you have the key, you then go to each cage to open it and free the puppies. When all puppies are free, you will get a password and move to the next level. Try to avoid the enemy toys that move about as they will damage you. You can use your bark to stun a toy but that is temporary.
1942 (USA, Europe)	A conversion of the arcade game, 1942 is a vertically scrolling shooter for one or two players. The year is 1942, and you are a daring fighter pilot &quot;Super Ace&quot;. You begin and end each of the numerous levels on an aircraft carrier and then fly your plane into battle against the enemy over both sea and land. After destroying certain plane formations you can collect several different power ups to increase your fire power and chances of survival.
3-D Ultra Pinball - Thrillride (USA) (Rumble Version)	All the bells, whistles, and sirens of the pinball games of yesteryear come to the portable system with 3D ULTRA PINBALL: Thrill Ride. This colorful title takes all the fast action of pinball and combines it with features that only a videogame can provide. The full-sized table features multiple screens of action, with all of the staples of pinball intact. Bumpers, ramps, stoppers, and flippers litter the table, along with a variety of special bonus chutes that will take you to one of several special pinball challenges. 3D ULTRA PINBALL is highlighted by brightly colored graphics, with excellent detail on the board and its various parts. The game also features realistic ball physics and gameplay elements, so don?t bump too hard or you?ll get a &quot;TILT&quot;! 3D ULTRA PINBALL: Thrill Ride will test your skills and push your reflexes to their limits.
3D Pocket Pool (Europe) (En,Fr,De,Es,It,Nl)	3D Pocket Pool consists of various rule sets, all variations of typical billiards games. 3D Pocket Pool uses various monster like characters instead of normal human characters. In 3D Pocket Pool there are four different modes of play: Practice, Tournament, Two-Player and Killer
720 Degrees (USA, Europe) (GB Compatible)	You're a skateboarder in Skate City, one of the largest skateparks ever built. Ollie off of ramps, grind on rails, and swerve past pedestrians as you bust out tricks. Visit skate shops scattered around the park to upgrade your gear and improve your skills. Participate in competitions to earn medals and cash to use in the shops. But, if you don't get to a competition in time, the infamous &quot;Skate Or Die&quot; message appears, and then you have to hurry!
Action Man - Search for Base X (USA, Europe)	Alex &quot;Action Man&quot; Mann makes a stop over onto the Game Boy Color where once again he must stop the world from falling into the clutches of the evil Dr. X. The player takes control of Action Man as they travel through seven different levels ranging for jungles to the Arctic, battling an army of robots with a variety of weapons and battle suits in search of Base X and stop Dr. X from launching a terrifying new weapon that could very well bring an end to the world. The gameplay is a standard side-scrolling action platformer where the player advances throughout the level, destroying enemies and avoiding pit falls. Along the way they can pick up more powerful guns as well as a bow and arrow and even different suits that can help them on their quest. Additionally, players can find these weapons and suits by taking different paths throughout the levels.
Adventures of the Smurfs, The (Europe) (En,Fr,De,Es,It,Nl)	Adventures Of The Smurfs is a game released for the Gameboy Color. It was released solely in Europe due to the continued popularity of the Smurf characters in that area.
AirForce Delta (USA)	As a jet fighter pilot in a civil war, the player will take to the skies in a behind-the-plane view for ten missions with a selection of up to eight aircraft. To complete a mission, the player must destroy a certain number of enemy aircraft or ground targets then destroy a boss air or ground craft. Each mission will reward the player with money. When the player has beaten the boss, the money may then be used to purchase new planes and upgrades for those planes.
